transaction_id,amount,hour,txns_last_hour,merchant_category,foreign_transaction,card_present,account_age_days,distance_from_home_km,is_fraud
T106896,9.52,14,2,travel,0,1,1934,4.6,0
T105109,118.2,17,1,grocery,0,0,2202,8.1,0
T104478,41.0,18,2,online,0,1,1628,11.5,0
T108039,120.66,5,1,gas,1,1,1383,13.4,0
T100902,168.57,6,0,Gas,0,1,1399,19.7,0
T103854,9.2,20,3,restaurant,0,0,2323,3.5,0
T103168,9.13,22,0,travel,0,1,1163,24.7,0
T106032,80.95,6,0,grocery,0,1,1004,17.2,0
T102814,116.81,17,3,grocery,0,0,1611,15.1,0
T103689,73.33,5,0,gas,0,0,239,7.5,0
T105216,42.35,23,0,Travel,0,0,253,17.4,0
T105532,30.81,23,0,grocery,0,1,1477,25.1,0
T100313,35.52,13,0,online,0,0,1790,13.5,0
T102174,28.57,23,0,online,0,0,290,5.9,0
T104442,70.07,20,1,grocery,0,1,1054,144.6,0
T108445,42.97,21,1,grocery,0,1,1192,40.3,0
T103283,30.71,0,0,online,0,1,733,1.6,0
T100331,129.31,22,1,travel,0,1,810,9.3,0
T108881,9.04,19,1,gas,0,0,1605,4.6,0
T104804,109.87,9,1,grocery,0,1,1229,23.1,0
T103659,3.96,18,1,online,0,1,913,16.7,0
T108787,58.75,9,0,electronics ,0,1,2464,7.8,0
T103170,43.78,9,1,grocery ,0,0,799,1.8,0
T100309,340.34,15,0,ONLINE,0,1,182,11.4,0
T108775,59.46,15,2,restaurant,0,1,788,54.4,0
T105510,62.72,12,1,restaurant,0,1,1561,26.6,0
T102518,119.63,16,1,restaurant,0,1,2260,9.0,0
T108593,51.35,0,3,grocery,1,1,1078,2.6,0
T106172,25.77,2,0,Gas,1,0,781,3.4,1
T102036,20.56,0,2,grocery ,0,0,2180,4.1,0
T105077,30.58,9,1,grocery,0,0,754,6.9,0
T103698,60.02,10,1,travel,0,0,415,54.4,0
T103010,108.41,1,1,online,0,0,1370,8.9,0
T102986,414.58,11,0,online,0,1,364,32.6,0
T101746,23.34,11,5,grocery,0,1,146,9.1,1
T101760,53.95,12,1,gas,0,1,2361,3.9,0
T100020,128.05,2,1,gas,0,0,782,,0
T106049,46.54,17,0,grocery,0,0,289,8.8,0
T101190,9.8,17,0,restaurant,0,1,1472,3.0,0
T106588,17.13,17,1,Travel,0,1,1941,19.1,0
T103309,30.42,6,1,travel,0,1,2454,9.9,0
T108162,186.61,1,2,grocery,0,1,200,3.2,0
T102208,22.45,6,0,online,0,1,1304,8.6,0
T107880,71.86,19,1,electronics,1,1,1536,54.1,0
T100281,21.88,12,1,gas,0,1,2406,19.6,0
T108868,15.32,15,0,grocery,0,1,2409,8.9,0
T108216,35.59,18,0,restaurant,0,1,1886,22.8,0
T108728,112.92,21,2,grocery,0,1,1660,2.3,0
T101103,22.04,3,2,online,0,1,402,74.1,0
T104589,27.22,2,2,grocery,0,0,2093,16.8,0
T103197,49.71,6,1,ONLINE,0,1,938,5.3,0
T108812,21.29,23,0,restaurant,0,0,1813,13.2,0
T102397,35.35,18,1,Restaurant,1,1,1626,20.4,0
T108857,38.18,17,1,electronics,0,0,1777,9.5,0
T102688,77.1,1,3,gas,0,0,1683,9.4,0
T100433,41.46,22,1,Restaurant,0,0,2334,17.1,0
T100524,24.87,8,2,restaurant,0,1,828,9.4,0
T107362,150.66,10,1,Online,0,0,1624,270.1,0
T106457,15.96,19,2,online,0,0,51,26.8,0
T105642,267.59,4,0,online,0,1,2151,44.1,0
T108394,25.57,16,0,online,0,0,2038,31.3,0
T101250,129.37,19,0,electronics,0,0,610,17.7,0
T102198,95.46,22,3,gas,0,1,2203,15.8,0
