employee_id,age,tenure_years,monthly_salary,satisfaction,work_life_balance,overtime,num_promotions,years_since_promotion,commute_km,job_role,exit_process_started,attrition
E71694,35,4.2,7833,2.0,3,No,1,1.7,13,Engineering,1,1
E71189,21,1.0,4379,5.0,4,No,1,3.0,2,Support,0,0
E70091,37,5.7,9831,4.0,2,No,1,4.3,25,Sales,0,0
E70810,23,2.7,6043,3.0,4,No,0,0.3,2,Support,0,0
E72290,45,2.7,10385,3.0,3,No,0,5.1,10,Management,0,0
E73844,46,5.0,6220,1.0,3,No,2,4.4,13,Sales,0,0
E70140,33,7.5,10532,3.0,3,No,2,1.1,5,Engineering,0,0
E71576,45,9.3,5683,5.0,3,No,1,1.8,8,Sales,0,0
E71494,45,2.2,5714,4.0,4,No,2,1.5,8,Support,0,0
E71751,46,2.0,4677,4.0,2,Yes,0,10.1,43,Sales,0,0
E72126,24,4.8,10501,1.0,1,No,2,3.3,14,Support,1,1
E72022,25,3.7,5662,5.0,1,Yes,2,4.4,8,Engineering,0,0
E71072,57,3.2,6145,3.0,4,No,0,0.5,10,Sales,0,0
E71691,32,7.7,6704,3.0,3,Yes,1,4.0,17,Sales,0,0
E70842,34,2.4,8408,1.0,3,Yes,0,0.4,11,Support,0,0
E72597,42,2.6,4439,4.0,3,Yes,2,2.7,2,Operations,1,0
E72746,36,4.1,5807,4.0,4,No,2,5.0,16,Management,0,0
E73432,38,4.2,2500,4.0,3,Yes,1,1.1,33,Engineering,0,0
E73019,45,0.8,3530,3.0,4,Yes,0,0.8,8,Sales,0,0
E70248,34,1.5,9950,2.0,2,No,0,11.2,2,Engineering,0,0
E70171,29,1.6,4257,3.0,4,Yes,0,0.1,15,Support,0,0
E73801,48,1.9,7961,2.0,4,No,0,8.8,11,Engineering,0,0
E73421,39,3.5,10161,4.0,2,No,0,0.8,12,Operations,0,0
E72720,33,6.1,6948,1.0,2,Yes,1,5.0,12,Operations,1,1
E71275,45,2.0,6795,4.0,1,No,2,4.8,4,Support,0,0
E71286,36,4.3,7163,3.0,1,No,1,2.3,14,Operations,0,0
E70121,22,2.6,4350,2.0,4,Yes,1,3.2,29,Sales,0,0
E73596,35,5.3,7072,5.0,1,No,2,0.5,7,Management,0,0
E71923,35,4.0,5568,3.0,2,No,1,3.8,8,Sales,0,0
E71577,47,2.4,2500,3.0,1,Yes,3,5.1,10,Engineering,1,1
E72381,31,0.3,5838,3.0,3,Yes,0,7.9,7,Support,1,1
E70576,29,5.1,9776,3.0,2,No,3,4.1,2,Engineering,0,0
E71025,34,13.2,5142,3.0,1,No,0,3.3,11,Engineering,0,0
E72909,59,2.3,6115,3.0,4,No,0,1.7,1,Operations,0,0
E73039,39,4.7,6498,3.0,3,No,1,4.2,23,Support,0,0
E72980,36,10.5,5308,2.0,4,Yes,3,4.1,22,Sales,0,0
E70371,41,1.7,6765,4.0,2,Yes,2,4.8,6,Sales,0,0
E70477,54,16.1,4379,5.0,1,Yes,1,2.4,6,Sales,0,0
E72359,27,8.6,8439,3.0,4,No,0,5.1,15,Operations,0,0
E72540,46,3.7,8562,2.0,2,No,2,0.9,8,Management,0,0
E70230,47,0.9,9498,1.0,3,No,0,4.0,10,Operations,0,1
E71912,41,5.2,4207,3.0,4,No,1,1.4,8,Engineering,0,0
E72125,36,8.6,5880,3.0,1,No,2,2.8,16,Engineering,0,0
E71470,45,6.0,4963,1.0,2,No,3,1.8,1,Sales,1,1
E71106,47,4.6,5716,4.0,2,No,0,3.1,8,Support,0,0
E73713,27,2.2,7042,5.0,3,Yes,3,2.5,30,Support,0,0
E73340,30,2.6,4264,3.0,1,No,2,0.3,10,Operations,0,0
E71881,43,2.0,6938,4.0,3,No,1,2.2,48,Operations,0,0
E70732,37,3.7,3524,4.0,3,Yes,0,1.5,20,Engineering,0,0
E71300,43,4.2,10094,2.0,2,No,1,2.4,1,Engineering,0,0
E70464,36,1.0,5241,1.0,1,No,2,5.8,4,Management,1,1
E73127,28,0.8,7048,2.0,3,Yes,2,1.8,8,Engineering,0,0
E72313,27,5.8,8994,3.0,4,No,1,1.5,7,Operations,0,0
E72482,41,2.7,6258,5.0,3,Yes,1,2.0,14,Sales,0,0
E73960,45,10.9,3015,5.0,1,No,2,2.1,28,Operations,1,1
E71166,40,1.6,3319,5.0,2,No,1,10.3,17,Engineering,0,0
E72830,43,10.9,3872,1.0,1,Yes,1,3.5,20,Management,0,0
E70696,36,0.3,8561,5.0,4,No,1,2.5,15,Engineering,0,0
E72850,43,1.2,6979,,2,No,1,1.6,18,Engineering,0,0
E70982,44,11.7,9336,4.0,3,No,2,3.2,11,Operations,0,0
E71065,44,5.8,5340,4.0,3,Yes,1,1.0,36,Operations,0,0
E71550,46,16.3,4322,4.0,3,No,3,1.2,42,Sales,0,0
E72191,40,8.1,2500,1.0,2,No,1,4.6,10,Management,1,1
E71697,50,3.3,5803,5.0,2,No,1,3.8,8,Engineering,0,0
E72168,52,2.2,10020,5.0,3,No,0,3.2,25,Support,0,0
E71820,33,7.3,5542,2.0,1,Yes,1,3.3,10,Operations,0,0
E70499,45,3.5,6252,5.0,1,Yes,0,2.6,18,Operations,0,0
E72559,41,3.1,2500,3.0,4,No,0,4.6,16,Engineering,0,0
E72093,30,11.1,2500,2.0,1,Yes,1,2.2,34,Sales,0,0
E73813,23,9.0,4903,4.0,4,No,0,14.0,2,Engineering,0,0
E71236,48,4.9,6387,2.0,1,No,0,2.1,4,Support,0,0
E73468,38,9.1,4240,4.0,3,No,0,1.8,4,Management,0,0
E72710,39,1.8,3898,4.0,1,Yes,3,3.7,25,Engineering,0,0
E70717,35,1.6,6042,4.0,1,No,4,4.4,21,Engineering,0,0
E71218,27,11.2,2514,4.0,1,No,1,5.0,32,Support,0,0
E70045,43,8.2,5017,3.0,4,Yes,0,4.5,10,Operations,0,0
E72037,30,10.2,7041,5.0,2,No,0,11.9,13,Sales,0,0
E70118,39,1.6,5441,2.0,2,Yes,2,5.8,32,Sales,1,1
E72766,37,2.2,8218,3.0,2,No,2,0.8,23,Engineering,0,0
E70208,38,2.5,4064,1.0,4,Yes,0,1.6,38,Support,1,1
E70527,39,4.8,8118,3.0,3,No,2,0.2,4,Support,0,0
E73843,34,8.2,7550,4.0,4,No,3,2.8,11,Operations,0,0
E72057,36,1.7,6808,3.0,2,No,1,2.7,12,Operations,0,0
E71267,32,7.1,10739,5.0,1,No,0,8.3,6,Sales,0,0
E73631,43,20.3,7709,4.0,3,No,1,2.6,11,Support,0,0
E73556,47,11.1,7976,5.0,2,No,1,1.9,8,Support,0,0
E73118,45,2.7,3139,5.0,3,No,1,3.8,10,Sales,0,0
E71597,37,4.6,4921,1.0,1,Yes,0,5.5,2,Management,1,1
E72857,44,8.2,9670,3.0,4,No,2,1.5,32,Support,0,0
E70619,54,4.2,2832,3.0,2,No,1,1.6,19,Operations,0,0
E73031,32,9.3,5708,1.0,2,No,2,9.8,3,Operations,0,0
E70030,37,3.6,7414,5.0,1,No,1,1.2,23,Sales,0,0
E71581,37,8.4,3167,4.0,4,No,2,1.0,22,Management,0,0
E73970,41,0.3,2500,3.0,3,No,1,2.0,31,Support,0,0
E70418,33,0.8,2500,,2,Yes,2,5.0,34,Support,1,1
E73929,36,1.6,7545,1.0,3,Yes,2,8.5,3,Sales,0,1
E71097,30,5.1,7801,3.0,1,No,0,0.7,50,Management,1,1
E71235,31,2.1,3556,3.0,3,Yes,0,1.3,32,Engineering,1,1
E70236,51,5.8,5903,2.0,1,No,0,2.7,32,Operations,0,0
E72840,47,9.1,7398,2.0,1,Yes,3,1.1,2,Engineering,1,1
E70870,43,2.4,4886,5.0,3,No,3,1.2,2,Sales,0,0
E70313,50,1.3,4421,5.0,1,No,1,2.3,19,Management,0,0
E71796,51,2.4,5586,4.0,2,Yes,2,4.1,7,Engineering,0,0
E73354,31,6.0,6907,1.0,2,Yes,0,4.3,26,Support,0,0
E70582,40,7.3,7153,3.0,3,No,1,8.2,35,Operations,0,0
E70964,32,5.0,8278,4.0,1,Yes,1,3.7,52,Engineering,0,0
E70369,37,1.3,3735,3.0,1,Yes,2,5.1,5,Operations,0,0
E73061,29,3.5,8420,3.0,2,No,0,1.9,8,Engineering,0,0
E72739,42,4.0,4343,3.0,3,Yes,1,2.8,7,Sales,0,0
E72430,34,5.6,5193,2.0,3,No,1,2.5,4,Engineering,0,0
E72149,42,0.8,5837,5.0,1,No,1,3.6,34,Sales,0,0
E71324,41,3.7,7244,2.0,3,No,1,1.4,5,Engineering,0,0
E71399,27,2.1,11477,3.0,1,No,2,1.8,22,Operations,1,1
E73959,33,5.5,8984,4.0,3,No,3,5.7,4,Engineering,0,0
E70473,34,7.0,9122,1.0,4,No,2,4.8,47,Engineering,0,0
E71281,37,6.5,5821,5.0,1,No,1,1.2,23,Sales,0,0
E73047,39,12.4,8617,1.0,3,No,1,1.2,11,Operations,0,0
E70279,49,2.4,5987,1.0,1,No,1,3.0,21,Engineering,0,0
E70529,26,5.6,4303,3.0,3,No,1,4.5,6,Support,0,0
E71981,32,3.1,8577,1.0,2,No,4,1.2,11,Operations,1,1
E73931,31,8.3,10329,2.0,2,Yes,0,2.6,29,Operations,1,1
E71849,29,9.3,8614,2.0,1,Yes,1,1.0,14,Management,0,0
E70845,57,2.8,4108,1.0,2,No,2,4.8,6,Operations,0,0
E73058,32,5.7,5352,5.0,3,No,1,8.4,35,Support,0,0
E70558,26,2.5,2500,5.0,3,No,1,0.8,11,Engineering,0,0
E72658,30,2.4,3446,3.0,4,Yes,1,9.0,8,Operations,0,0
E72225,51,3.2,6582,3.0,2,No,1,1.9,14,Engineering,1,0
E72320,33,9.3,11404,2.0,2,No,4,2.4,15,Sales,1,1
E70363,46,7.9,5113,5.0,4,Yes,0,2.1,1,Sales,0,0
E72069,21,4.2,2500,2.0,2,Yes,3,0.5,12,Engineering,1,1
E73192,41,5.0,5811,3.0,1,Yes,3,1.2,8,Engineering,0,0
E70307,40,1.2,4353,4.0,2,Yes,0,9.6,12,Sales,0,0
E71602,38,4.0,7032,3.0,4,No,2,3.4,17,Sales,0,0
E72185,37,4.3,6174,4.0,1,Yes,1,3.3,12,Sales,1,1
E72953,35,1.1,4307,2.0,2,No,2,0.5,9,Engineering,1,1
E73213,35,3.1,4328,3.0,3,Yes,2,5.9,7,Support,0,0
E73722,36,3.8,5220,1.0,2,No,2,4.4,8,Sales,0,0
E72542,36,1.2,6056,4.0,1,No,3,3.2,38,Support,1,1
E72278,40,3.5,5971,3.0,1,No,3,2.1,13,Support,0,0
E73953,39,4.4,10169,2.0,3,No,1,2.5,21,Sales,1,1
E73173,40,8.6,2500,5.0,2,No,3,3.5,13,Operations,0,0
E73834,36,2.1,4820,2.0,3,No,0,5.3,21,Support,0,0
E73787,38,3.0,7863,,1,No,2,5.7,15,Management,0,0
E71544,29,11.8,6396,5.0,3,No,1,4.3,8,Management,0,0
E72348,61,3.4,4884,2.0,1,Yes,3,7.2,21,Management,1,1
E70627,35,2.5,5288,1.0,2,No,1,4.4,6,Support,0,0
E73044,50,2.8,6679,5.0,2,Yes,1,0.0,8,Sales,0,0
E73501,36,2.6,5984,1.0,3,Yes,1,0.5,42,Sales,1,1
E71734,45,9.4,9602,4.0,1,Yes,0,5.7,12,Sales,0,0
E71894,49,4.5,9361,1.0,1,Yes,3,5.0,3,Operations,1,1
E71685,30,1.8,5961,4.0,3,Yes,0,5.0,4,Engineering,0,0
E73786,29,2.4,6692,3.0,3,Yes,1,2.9,11,Operations,0,0
E73278,36,4.2,8447,2.0,2,No,1,1.5,13,Operations,0,0
E71854,45,6.4,5138,1.0,1,No,1,3.9,6,Operations,1,1
E73460,40,11.6,2500,2.0,1,No,1,3.8,25,Operations,0,0
E70122,30,5.0,11025,4.0,3,No,0,2.7,26,Operations,0,0
E70700,42,4.7,9118,1.0,2,No,1,8.2,3,Operations,1,1
E71111,30,3.8,3753,3.0,4,Yes,2,2.2,11,Sales,0,0
E73071,21,3.0,5721,5.0,2,No,1,1.0,20,Operations,0,0
E73598,47,4.2,7573,3.0,3,No,2,1.6,12,Sales,0,0
E70520,53,4.0,5240,3.0,3,No,0,6.8,20,Operations,0,0
E73534,45,7.8,6602,4.0,3,No,3,1.6,9,Support,1,0
E73085,44,3.9,8262,5.0,3,No,4,4.7,9,Sales,0,0
E72321,39,3.7,7750,1.0,4,No,1,0.4,6,Management,0,0
E72121,40,3.7,7493,5.0,3,No,0,1.6,7,Sales,0,0
E71934,31,4.4,5877,1.0,4,Yes,0,5.7,7,Engineering,0,0
E70622,28,2.2,3112,2.0,2,No,1,8.5,3,Engineering,1,0
E70505,28,2.0,5898,1.0,3,No,0,3.9,14,Sales,0,0
E73332,34,8.3,6160,1.0,1,Yes,2,1.9,10,Support,1,1
E73503,58,0.3,5324,4.0,3,No,2,3.8,5,Sales,0,0
E71589,47,0.4,9451,5.0,4,Yes,1,5.1,18,Operations,0,0
E73200,63,0.6,2500,4.0,2,No,1,1.7,19,Operations,0,0
E73636,24,3.1,5114,5.0,1,No,2,3.0,11,Engineering,0,0
E73405,50,13.0,5322,3.0,3,No,0,4.7,40,Support,0,0
E72699,40,1.4,6448,3.0,3,Yes,3,3.4,4,Operations,0,0
E73877,34,4.2,6949,3.0,2,No,2,3.0,16,Sales,0,0
E70816,26,2.0,3202,1.0,1,No,3,11.7,37,Operations,1,1
E70103,21,6.8,6103,4.0,2,No,0,6.8,26,Support,0,0
E73817,29,2.9,4905,4.0,3,No,1,4.3,5,Sales,0,0
E70095,24,1.3,9966,5.0,4,No,3,5.2,3,Sales,0,0
E72162,30,1.3,4841,3.0,3,No,2,2.2,9,Engineering,1,1
E73942,36,12.8,2500,4.0,1,No,0,3.7,34,Sales,0,0
E73858,29,0.8,5921,2.0,3,No,1,6.7,34,Management,0,0
E71630,32,12.7,8158,4.0,2,Yes,1,0.8,6,Sales,0,0
E70743,47,3.9,9479,5.0,4,Yes,0,4.6,5,Engineering,0,0
E70909,40,11.4,2692,4.0,1,No,1,1.5,5,Operations,0,0
E73002,40,7.1,4622,4.0,3,No,1,0.6,18,Sales,0,0
E70480,37,2.1,7772,4.0,3,No,1,6.3,18,Support,0,0
E70981,49,5.8,7545,2.0,3,No,1,4.5,14,Support,0,0
E72723,31,4.4,2500,3.0,1,Yes,2,1.0,9,Operations,1,1
E72294,36,9.9,8243,1.0,1,Yes,0,1.6,90,Sales,1,1
