application_id,group,annual_income,credit_score,employment_length,debt_to_income,revolving_util,num_credit_lines,loan_amount,home_ownership,loan_purpose,age,defaulted
L60207,B,"$53,096",658.0,6 years,0.317,0.675,13,18700,rent,major_purchase,32,0
L63345,B,"$50,109",707.0,9 years,0.37,0.483,7,25800,RENT,major_purchase,43,0
L60072,B,"$29,518",714.0,10+ years,0.32,0.26,8,9100,MORTGAGE,medical,32,0
L65134,A,"$38,257",617.0,5 years,0.268,0.691,5,10600,Rent,Major Purchase,37,0
L64568,B,"$121,975",831.0,2 years,0.296,0.0,9,11000,RENT,credit_card,35,0
L62949,A,"$32,847",677.0,3 years,0.38,0.468,7,9200,RENT,debt_consolidation,36,0
L60681,A,"$28,428",628.0,10+ years,0.312,0.436,14,14900,MORTGAGE,home_improvement,62,0
L60521,B,"$61,655",656.0,10+ years,0.394,0.524,2,38300,RENT,debt_consolidation,20,0
L64374,A,"$37,477",682.0,6 years,0.312,0.371,9,18400,MORTGAGE,debt_consolidation,48,0
L64415,A,"$73,057",732.0,4 years,0.185,0.158,11,17700,MORTGAGE,medical,21,0
L62718,A,"$46,566",757.0,8 years,0.084,0.517,7,1000,RENT,debt_consolidation,26,0
L65110,A,"$61,918",765.0,10+ years,0.465,0.594,5,28300,mortgage,debt_consolidation,35,0
L60545,A,"$26,320",572.0,6 years,0.313,0.252,11,31800,OWN,credit_card,24,0
L60577,A,"$52,475",635.0,10+ years,0.094,0.456,8,7800,Rent,major_purchase,32,0
L60328,B,"$63,517",646.0,3 years,0.274,0.325,8,6900,RENT,debt consolidation,39,0
L62246,A,"$60,251",674.0,6 years,0.236,0.387,11,9800,mortgage,medical,34,0
L63281,B,"$50,486",679.0,< 1 year,0.136,0.341,6,2600,RENT,Debt Consolidation,33,0
L61803,B,"$49,326",681.0,< 1 year,0.364,0.67,5,22400,own,Credit Card,30,1
L63944,A,"$162,236",686.0,7 years,0.339,0.136,9,12300,MORTGAGE,major_purchase,35,0
L62167,A,"$88,699",738.0,10+ years,0.133,0.175,7,26200,MORTGAGE,Medical,56,0
L61497,B,"$52,276",662.0,2 years,0.349,0.703,6,23400,mortgage,debt consolidation,31,0
L61142,A,"$76,544",699.0,< 1 year,0.21,0.701,13,21200,MORTGAGE,Major Purchase,47,1
L64421,B,"$50,105",694.0,10+ years,0.534,0.638,4,21900,RENT,debt consolidation,33,0
L63449,A,"$29,233",753.0,8 years,0.497,0.382,6,25700,rent,debt_consolidation,45,1
L64165,B,"$74,243",740.0,< 1 year,0.235,0.549,5,23700,MORTGAGE,debt_consolidation,21,0
L60935,B,"$47,292",724.0,4 years,0.311,0.488,6,11900,RENT,medical,43,0
L60537,A,"$24,155",580.0,10+ years,0.203,0.631,3,8600,RENT,Credit Card,25,1
L61595,A,"$56,095",618.0,10+ years,0.38,0.403,8,22600,MORTGAGE,medical,56,0
L63963,A,"$54,728",752.0,5 years,0.476,0.431,8,27000,RENT,debt_consolidation,50,0
L63582,A,"$32,812",731.0,3 years,0.323,0.542,7,28400,MORTGAGE,home_improvement,47,0
L61548,A,"$13,075",660.0,3 years,0.348,0.467,6,26800,mortgage,Credit Card,33,0
L64175,A,"$26,971",646.0,4 years,0.363,0.702,11,5800,RENT,debt_consolidation,32,0
L61333,B,"$151,695",788.0,4 years,0.339,0.499,13,32800,RENT,credit_card,62,0
L62411,A,"$110,035",701.0,10+ years,0.369,0.0,13,10400,MORTGAGE,major_purchase,56,0
L64947,A,"$52,706",663.0,3 years,0.275,0.218,6,17500,own,debt_consolidation,47,0
L65093,B,"$33,819",595.0,5 years,0.323,0.056,8,28000,RENT,Major Purchase,48,1
L63098,A,"$23,804",615.0,4 years,0.034,0.53,10,10400,OWN,debt consolidation,48,0
L60322,A,"$41,845",777.0,10+ years,0.511,0.587,5,14700,rent,debt_consolidation,33,1
L61179,A,"$99,198",637.0,10+ years,0.288,0.305,3,10700,MORTGAGE,Credit Card,30,0
L60595,A,"$39,847",719.0,1 years,0.26,0.669,12,34300,RENT,debt_consolidation,63,0
L60798,A,"$25,405",747.0,4 years,0.173,0.0,9,20800,OWN,debt_consolidation,28,0
L62688,A,"$19,792",697.0,4 years,0.35,0.416,9,21500,Rent,debt consolidation,26,0
L64493,B,"$38,076",590.0,9 years,0.437,0.0,9,15700,MORTGAGE,debt_consolidation,47,0
L64921,A,"$29,105",766.0,5 years,0.389,0.406,6,32700,MORTGAGE,credit_card,40,1
L61945,A,"$40,037",740.0,,0.07,0.369,11,1000,MORTGAGE,home_improvement,38,0
L60828,A,"$26,074",726.0,5 years,0.397,0.992,10,24800,RENT,other,22,1
L61772,A,"$59,396",615.0,4 years,0.201,0.205,10,17400,RENT,credit card,34,1
L64474,B,"$51,287",630.0,< 1 year,0.196,0.592,9,9300,MORTGAGE,debt consolidation,54,1
L61693,A,"$61,906",667.0,9 years,0.28,0.598,12,11900,Rent,debt_consolidation,24,0
L62467,B,"$90,665",696.0,3 years,0.198,0.417,8,16600,RENT,debt_consolidation,42,0
L64562,A,"$32,951",673.0,8 years,0.274,0.341,6,30200,MORTGAGE,debt_consolidation,42,1
L62652,A,"$130,282",674.0,1 years,0.33,0.322,10,18700,OWN,home_improvement,18,0
L64138,A,"$73,077",746.0,2 years,0.175,0.577,8,15800,RENT,debt_consolidation,72,0
L64600,A,"$129,315",682.0,5 years,0.336,0.577,3,10400,mortgage,other,58,0
L61380,A,"$133,623",665.0,< 1 year,0.211,0.285,14,20700,RENT,credit_card,40,0
L61521,A,"$46,238",593.0,4 years,0.066,0.631,6,13300,MORTGAGE,debt_consolidation,54,0
L63383,A,"$46,274",778.0,9 years,0.21,0.209,13,5500,MORTGAGE,home_improvement,52,0
L64789,A,"$143,515",760.0,2 years,-1.0,0.227,10,8800,OWN,debt_consolidation,38,0
L62702,A,"$58,705",617.0,4 years,0.19,0.193,11,1000,MORTGAGE,credit_card,29,0
L60936,A,"$40,163",669.0,2 years,0.323,0.683,15,22400,OWN,credit_card,33,0
L64957,B,"$61,701",765.0,2 years,0.196,0.266,12,5300,mortgage,debt consolidation,38,0
L61242,A,"$46,759",716.0,10+ years,0.4,0.212,9,11900,RENT,credit_card,29,0
L63732,A,"$60,172",722.0,5 years,0.328,0.648,4,15000,RENT,debt_consolidation,44,0
L64867,B,"$33,640",679.0,1 years,0.317,0.382,7,12400,mortgage,Debt Consolidation,50,0
L61660,B,"$34,642",753.0,6 years,0.204,0.575,4,20000,RENT,debt_consolidation,39,0
L61781,A,"$36,030",722.0,5 years,0.479,0.194,7,8700,OWN,home_improvement,33,1
L64981,B,"$37,020",687.0,2 years,0.404,0.402,11,35700,Mortgage,credit_card,55,1
L61615,B,"$38,505",631.0,10+ years,0.403,0.478,5,12000,MORTGAGE,Home Improvement,59,1
