machine_id,cycle,temperature,vibration,pressure,rpm,failure_within_20
M100,1,53.28,1.975,103.73,1496,0
M100,2,54.59,2.186,104.54,1504,0
M100,3,57.35,1.941,99.75,1500,0
M100,4,61.42,0.827,107.24,1476,0
M100,5,53.85,2.741,104.31,1491,0
M100,6,52.67,1.667,106.49,1508,0
M100,7,57.93,1.318,104.57,1468,0
M100,8,60.06,2.131,105.47,1521,0
M100,9,49.22,2.053,103.38,1494,0
M100,10,54.16,2.331,102.32,1509,0
M100,11,54.25,1.449,101.5,1468,0
M100,12,56.02,2.324,105.24,1490,0
M100,13,53.89,3.166,103.08,1518,0
M100,14,62.31,1.827,103.76,1498,0
M100,15,55.62,1.636,104.69,1523,0
M100,16,64.43,1.859,103.24,1482,0
M100,17,51.3,2.612,103.96,1525,0
M100,18,61.02,2.267,104.08,1488,0
M100,19,59.81,2.709,104.83,1470,0
M100,20,62.96,1.522,105.56,1502,0
M100,21,56.85,2.787,106.85,1504,0
M100,22,63.14,2.791,102.71,1525,0
M100,23,58.57,1.24,103.42,1513,0
M100,24,51.46,2.465,105.07,1515,0
M100,25,58.18,2.429,103.34,1474,0
M100,26,54.11,1.682,100.08,1509,0
M100,27,53.64,2.703,104.74,1493,0
M100,28,58.47,1.449,102.12,1536,0
M100,29,57.55,2.057,102.89,1515,0
M100,30,57.55,3.076,102.84,1526,0
M100,31,55.19,1.973,101.71,1500,0
M100,32,60.62,1.349,101.61,1486,0
M100,33,61.75,2.15,101.61,1494,0
M100,34,62.49,2.178,100.81,1518,0
M100,35,54.51,2.694,103.72,1523,0
M100,36,55.83,2.206,103.98,1537,0
M100,37,54.19,1.435,98.87,1520,0
M100,38,53.45,2.166,104.16,1502,0
M100,39,58.56,1.814,103.17,1479,0
M100,40,60.23,1.793,99.57,1456,0
M100,41,61.44,2.788,105.38,1513,0
M100,42,63.17,3.029,102.32,1491,0
M100,43,60.12,1.626,103.2,1525,0
M100,44,56.85,2.131,102.52,1527,0
M100,45,60.01,2.168,102.33,1478,0
M100,46,65.58,2.05,102.09,1465,0
M100,47,62.57,2.267,100.84,1545,0
M100,48,60.35,2.478,103.72,1541,0
M100,49,58.3,2.379,103.13,1477,0
M100,50,59.81,1.313,99.09,1531,0
M100,51,51.05,2.335,104.62,1451,0
M100,52,59.2,2.857,104.03,1496,0
M100,53,58.71,2.292,102.96,1490,0
M100,54,61.25,2.229,103.23,1484,0
M100,55,54.12,1.656,102.27,1521,0
M100,56,60.3,2.2,103.45,1450,0
M100,57,59.8,2.138,101.21,1507,0
M100,58,58.35,1.882,102.49,1468,0
M100,59,55.17,1.932,103.93,1542,0
M100,60,54.99,1.604,103.05,1507,0
M100,61,55.6,1.803,102.05,1507,0
M100,62,60.61,2.265,101.32,1495,0
M100,63,56.93,2.381,102.99,1479,0
M100,64,54.79,2.167,105.74,1460,0
M100,65,56.48,2.197,102.65,1483,0
M100,66,60.77,2.241,104.9,1478,0
M100,67,57.18,3.442,104.57,1479,0
M100,68,57.43,2.07,100.89,1515,0
M100,69,58.36,1.464,102.62,1546,0
M100,70,58.38,2.74,99.66,1462,0
M100,71,58.18,2.789,106.2,1509,0
M100,72,60.18,1.221,103.26,1444,0
M100,73,57.27,2.274,102.84,1499,0
M100,74,59.89,2.636,100.47,1473,0
M100,75,51.6,1.668,104.43,1478,0
M100,76,54.72,1.837,104.86,1527,0
M100,77,59.53,1.272,103.54,1475,0
M100,78,57.95,3.249,103.54,1466,0
M100,79,62.59,2.154,101.89,1502,0
M100,80,60.78,2.383,101.96,1482,0
M100,81,60.06,3.085,100.93,1498,0
M100,82,59.19,2.706,102.45,1511,0
M100,83,55.38,2.468,99.96,1474,0
M100,84,59.37,2.103,100.39,1527,0
M100,85,59.75,1.658,104.91,1498,0
M100,86,57.88,2.357,103.84,1493,0
M100,87,59.17,2.698,100.44,1487,0
M100,88,60.34,1.651,100.7,1484,0
M100,89,59.75,3.33,101.46,1485,0
M100,90,66.26,2.308,102.13,1493,0
M100,91,62.9,1.811,99.05,1484,0
M100,92,61.73,2.182,99.96,1492,0
M100,93,62.93,2.012,99.55,1462,0
M100,94,57.66,1.667,101.69,1488,0
M100,95,62.98,2.505,100.99,1460,0
M100,96,58.01,2.03,101.0,1453,0
M100,97,65.32,2.195,100.84,1508,0
M100,98,56.28,2.298,100.26,1511,0
M100,99,58.92,2.423,101.39,1509,0
M100,100,55.17,3.229,98.05,1480,0
M100,101,56.4,2.63,101.24,1507,0
M100,102,56.71,2.214,100.56,1495,0
M100,103,61.11,2.185,101.91,1518,0
M100,104,55.91,2.636,98.74,1494,0
M100,105,61.07,1.846,98.87,1481,0
M100,106,60.19,2.197,101.24,1486,0
M100,107,58.81,2.254,99.17,1470,0
M100,108,53.77,3.179,99.9,1494,0
M100,109,59.55,2.778,102.26,1528,0
M100,110,58.16,2.631,97.1,1496,0
M100,111,55.98,1.784,99.33,1468,0
M100,112,59.72,2.54,103.44,1496,0
M100,113,61.13,2.971,104.14,1479,0
M100,114,56.72,2.763,100.41,1464,0
M100,115,56.15,2.256,106.47,1515,0
M100,116,56.78,2.629,104.96,1489,0
M100,117,59.0,2.473,101.5,1501,0
M100,118,56.23,2.709,100.34,1519,0
M100,119,64.19,1.919,104.84,1525,0
M100,120,62.35,2.363,100.61,1473,0
M100,121,60.01,1.748,100.76,1479,0
M100,122,65.3,2.013,99.08,1477,0
M100,123,64.17,2.271,102.47,1487,0
M100,124,62.81,2.476,102.23,1492,0
M100,125,60.33,1.536,98.61,1458,0
M100,126,64.6,2.597,100.48,1472,0
M100,127,67.31,2.467,97.84,1507,0
