customer_id,recency_days,frequency,monetary,tenure_months,email_opens_90d,prior_responses,age,responded
C40765,18,15,1865.0,78,38,2,60.0,0
C40862,31,9,2324.0,59,33,3,42.0,1
C40749,15,28,385.0,67,25,4,45.0,1
C43759,41,7,244.0,13,8,0,42.0,0
C40322,18,14,953.0,61,36,3,31.0,0
C40341,14,21,1968.0,61,24,5,52.0,1
C42401,199,1,626.0,60,1,0,57.0,0
C40824,23,32,2654.0,63,17,3,33.0,0
C42959,305,0,547.0,67,1,1,45.0,0
C41620,97,12,644.0,34,14,0,48.0,0
C43169,51,12,313.0,7,6,1,35.0,0
C41638,85,9,664.0,34,15,0,40.0,0
C43618,36,8,116.0,2,16,0,50.0,0
C41194,54,12,1261.0,40,9,0,68.0,0
C40045,15,19,1360.0,64,38,2,36.0,0
C43292,48,10,240.0,6,4,0,32.0,0
C40218,11,18,3006.0,50,10,4,39.0,1
C41041,151,13,125.0,49,17,1,43.0,0
C44029,33,11,127.0,1,12,1,22.0,0
C40003,19,27,1855.0,74,18,0,49.0,0
C43469,31,6,233.0,4,17,0,33.0,0
C42719,235,2,550.0,57,2,0,42.0,0
C43980,35,6,317.0,3,6,1,32.0,0
C43315,46,7,276.0,2,13,1,18.0,0
C40551,13,24,1994.0,74,19,3,33.0,1
C41881,85,11,1031.0,57,16,2,53.0,1
C40920,24,22,2226.0,64,48,4,33.0,1
C41643,100,15,1368.0,53,13,0,46.0,0
C43930,32,4,432.0,16,12,1,26.0,1
C43765,20,7,,13,8,0,39.0,0
C41882,82,5,608.0,38,18,1,55.0,0
C41067,69,11,1031.0,43,13,1,39.0,1
C41063,75,10,1716.0,51,17,1,55.0,0
C40820,24,26,1934.0,68,40,2,41.0,0
C41314,79,9,1401.0,62,19,1,45.0,0
C43114,172,5,409.0,52,1,0,63.0,0
C43537,28,6,322.0,1,8,0,25.0,1
C42693,288,2,456.0,62,0,0,48.0,0
C41189,45,14,657.0,45,15,4,56.0,0
C40476,18,16,2238.0,70,31,3,58.0,1
C41933,53,15,1444.0,51,10,0,47.0,0
C40265,21,23,2316.0,64,33,5,46.0,1
C43653,30,4,195.0,14,5,2,18.0,0
C42867,380,3,669.0,72,2,0,48.0,0
C43977,28,8,287.0,17,10,0,26.0,0
C41974,69,14,746.0,41,13,2,48.0,0
C43798,25,5,310.0,4,7,2,29.0,0
C40418,15,31,1653.0,55,30,5,41.0,1
C43905,23,5,264.0,16,14,1,31.0,0
C40958,13,17,2273.0,52,39,3,57.0,1
C41718,86,11,1426.0,47,16,0,,0
C40558,19,14,1357.0,56,43,1,29.0,1
C41568,103,16,791.0,52,12,0,60.0,0
C42163,270,4,531.0,68,1,0,48.0,0
C41633,39,10,1157.0,53,9,2,65.0,0
C41136,39,1,945.0,49,16,1,25.0,0
C43656,37,5,328.0,3,13,2,31.0,0
C40377,12,17,2635.0,60,19,2,34.0,0
C42720,198,1,505.0,58,1,0,68.0,0
C42408,169,3,414.0,57,2,1,38.0,0
C42057,59,17,989.0,35,10,0,50.0,0
C42739,366,2,471.0,58,2,0,40.0,0
C43620,44,5,271.0,1,10,1,19.0,0
C41660,84,12,1023.0,36,10,1,49.0,1
C42624,376,5,393.0,41,3,0,46.0,0
C42173,270,3,624.0,70,4,1,60.0,0
C40520,13,17,2738.0,68,39,3,54.0,1
C42234,319,2,542.0,54,1,0,57.0,0
C42467,245,5,315.0,64,3,0,49.0,0
C41744,68,5,731.0,50,10,0,47.0,0
C42942,215,3,343.0,57,1,0,53.0,0
C42595,320,3,607.0,54,3,1,74.0,0
C40030,16,15,2286.0,66,29,1,35.0,0
C42037,60,15,1615.0,45,18,1,44.0,0
C43313,25,5,333.0,1,8,1,49.0,0
C44195,55,5,388.0,9,18,1,20.0,0
C43090,272,5,571.0,59,2,0,54.0,0
C41711,88,8,853.0,52,8,1,43.0,0
C43838,31,6,253.0,4,7,4,24.0,0
C40776,25,15,1839.0,75,48,5,39.0,1
C42953,298,4,251.0,55,2,0,53.0,0
C41440,67,16,883.0,43,7,2,30.0,0
C40614,30,39,2295.0,53,23,4,44.0,1
C40369,16,19,1513.0,53,36,2,31.0,1
C40118,20,22,2643.0,64,27,2,34.0,1
C44058,22,6,420.0,1,5,0,23.0,0
C40027,23,20,1950.0,53,37,0,31.0,1
C40677,16,28,2565.0,68,31,1,45.0,1
C41022,85,9,1000.0,61,11,1,37.0,0
C40248,26,26,2222.0,56,44,4,54.0,1
C42206,243,3,592.0,70,3,0,51.0,0
C40621,18,17,3033.0,58,21,5,25.0,1
C44069,38,5,391.0,13,8,1,44.0,0
C41625,53,10,781.0,46,12,2,41.0,0
C43832,13,9,369.0,1,4,1,31.0,0
C41101,84,4,1445.0,55,13,0,67.0,0
C41928,74,4,671.0,52,12,0,55.0,1
C42842,353,3,499.0,56,3,0,45.0,0
C42580,448,5,556.0,54,1,1,43.0,0
C42620,391,3,295.0,59,2,0,29.0,0
C43463,44,6,320.0,8,9,1,22.0,0
C41703,76,3,1243.0,41,13,1,51.0,0
C43199,38,6,307.0,12,14,1,39.0,0
C40129,16,13,2668.0,63,20,2,57.0,1
C40452,19,27,1352.0,63,29,5,60.0,1
C40619,20,26,1754.0,63,31,4,46.0,1
C42066,53,11,1087.0,46,19,0,40.0,0
C40960,10,27,2169.0,61,20,3,18.0,1
C41107,86,0,1020.0,52,11,3,43.0,0
C40514,12,23,2951.0,69,22,4,41.0,0
C40020,7,8,2586.0,71,33,2,39.0,1
C40799,15,14,3478.0,60,29,3,21.0,1
C43947,29,1,401.0,15,9,0,25.0,0
C40984,20,23,2054.0,68,30,5,34.0,1
C41489,116,6,1300.0,34,10,1,43.0,0
C41294,79,10,1188.0,46,15,2,24.0,0
C40091,19,28,2158.0,70,35,3,46.0,1
C42869,131,1,374.0,53,2,1,51.0,0
C44132,35,8,349.0,10,9,2,26.0,0
C41836,63,10,884.0,52,12,2,45.0,0
C41617,80,12,1118.0,53,8,3,39.0,0
C41257,33,10,1139.0,38,17,1,51.0,0
C40739,24,18,2443.0,62,31,2,37.0,1
C42051,75,7,1026.0,36,11,0,36.0,0
C43008,233,3,374.0,70,2,0,64.0,0
C41980,73,11,1061.0,41,4,1,49.0,0
C42079,98,10,966.0,36,16,0,59.0,0
C42988,401,1,386.0,54,2,0,44.0,0
C43001,137,4,493.0,49,1,0,52.0,0
C40887,25,34,1864.0,68,36,2,36.0,1
C42570,335,2,384.0,49,1,0,31.0,0
C43435,40,2,79.0,6,13,2,19.0,0
C43908,47,5,194.0,5,7,0,18.0,0
C42360,279,5,574.0,53,2,0,38.0,0
C44176,36,11,385.0,1,12,2,33.0,0
C44027,37,7,242.0,17,12,1,24.0,0
C42780,414,3,530.0,57,2,0,56.0,0
C40922,21,24,2385.0,54,29,5,29.0,1
C42776,234,3,654.0,75,1,0,60.0,0
C42311,317,4,670.0,74,2,0,59.0,0
C41025,72,11,810.0,42,20,0,44.0,0
C42224,383,3,346.0,79,2,1,56.0,0
C42544,347,6,519.0,74,2,1,73.0,0
C40307,21,25,2548.0,61,28,2,33.0,0
C42574,346,5,427.0,52,3,1,65.0,0
C40294,14,14,2343.0,64,36,3,57.0,1
C41837,71,15,1200.0,37,14,0,32.0,0
C42065,94,6,1017.0,41,16,0,42.0,0
C41092,126,12,1250.0,48,8,0,31.0,0
C42304,229,1,335.0,67,2,0,60.0,0
C41177,44,7,836.0,50,12,0,36.0,0
C43616,39,10,245.0,1,11,3,40.0,1
C40713,14,24,1902.0,47,27,3,32.0,0
C43041,311,4,68.0,64,3,0,53.0,0
C43092,224,2,251.0,60,3,0,57.0,0
C40819,13,8,1502.0,64,27,3,34.0,1
C40930,13,15,2887.0,55,31,2,48.0,1
C42502,353,3,485.0,62,1,0,45.0,0
C40499,13,20,1470.0,61,38,1,21.0,1
C40088,20,12,,52,30,1,40.0,1
C40140,16,16,2723.0,69,39,3,45.0,0
C41215,102,9,557.0,45,12,0,37.0,0
C42820,367,4,653.0,55,1,0,38.0,0
C40724,15,17,2791.0,68,30,2,38.0,0
C41346,90,11,867.0,48,20,0,33.0,0
