customer_id,month,tenure_months,monthly_usage_gb,support_tickets,add_ons,monthly_charges,price_increase,churned
C100000,0,31,75.6,4,0,67.57,0,0
C100001,0,32,49.1,2,0,57.96,0,0
C100002,0,72,71.6,4,3,82.85,0,1
C100003,0,46,34.0,1,0,68.3,0,0
C100004,0,6,48.8,0,0,57.19,0,1
C100005,0,40,32.8,1,3,33.6,0,1
C100006,0,49,27.1,1,1,90.65,0,0
C100007,0,21,65.0,1,0,49.44,0,0
C100008,0,30,56.3,2,1,65.24,0,0
C100009,0,38,26.7,3,0,54.07,0,1
C100010,0,3,79.7,1,4,52.76,0,0
C100011,0,0,63.2,0,0,48.46,0,0
C100012,0,42,35.1,0,1,54.55,0,0
C100013,0,19,51.9,0,1,93.08,0,0
C100014,0,23,71.0,1,2,52.57,0,0
C100015,0,2,77.0,0,6,80.08,0,0
C100016,0,3,77.5,1,1,91.24,0,0
C100017,0,9,71.6,2,0,104.37,0,0
C100018,0,2,68.4,0,2,71.98,0,0
C100019,0,6,59.2,2,2,82.87,0,1
C100020,0,36,7.4,1,0,59.63,0,1
C100021,0,23,63.7,1,0,66.66,0,0
C100022,0,46,51.3,1,2,97.97,0,0
C100023,0,46,73.2,1,2,72.67,0,0
C100024,0,14,74.3,0,1,41.24,1,0
C100025,0,39,65.3,1,3,69.47,0,0
C100026,0,25,41.4,2,1,84.62,0,1
C100027,0,36,63.6,3,3,85.64,0,0
C100028,0,0,54.5,0,4,54.89,1,0
C100029,0,13,79.4,2,2,71.06,0,0
C100030,0,51,34.2,2,5,63.44,0,1
C100031,0,32,78.7,0,1,98.89,0,0
C100032,0,45,63.9,2,2,53.9,0,0
C100033,0,56,59.1,0,0,56.91,0,0
C100034,0,52,38.1,1,1,28.95,1,1
C100035,0,28,51.6,2,2,89.01,0,1
C100036,0,31,45.9,0,1,86.47,0,0
C100037,0,19,64.3,0,1,60.93,0,0
C100038,0,36,70.7,2,1,89.42,0,0
C100039,0,21,66.7,2,1,80.54,0,0
C100040,0,61,62.7,1,1,81.2,0,0
C100041,0,33,61.7,1,1,81.57,0,0
C100042,0,61,67.9,2,0,39.53,0,0
C100043,0,54,40.5,2,1,44.67,0,0
C100044,0,28,34.5,0,2,43.53,0,0
C100045,0,0,65.9,0,0,91.81,0,0
C100046,0,57,58.7,0,1,75.12,0,0
